grid80,Amphora,Coarseware,Commonware,Fineware
2,1.0,1.0,0.0,0.0
11,1.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.0
32,0.0,1.0,1.0,0.0
46,1.0,0.0,0.0,0.0
47,1.0,0.0,1.0,0.0
48,1.0,0.0,1.0,0.0
49,1.0,0.0,0.0,0.0
92,1.0,0.0,0.0,0.0
93,0.0,1.0,0.0,0.0
102,0.0,0.0,1.0,0.0
116,1.0,0.0,0.0,0.0
118,0.0,1.0,1.0,0.0
119,0.0,0.0,1.0,0.0
135,1.0,1.0,1.0,0.0
179,0.0,0.0,1.0,0.0
185,1.0,0.0,0.0,0.0
195,0.0,0.0,1.0,0.0
197,1.0,0.0,0.0,0.0
213,0.0,0.0,1.0,0.0
220,1.0,0.0,1.0,0.0
221,1.0,0.0,1.0,0.0
226,0.0,0.0,1.0,0.0
236,1.0,0.0,0.0,0.0
244,0.0,0.0,1.0,0.0
248,1.0,0.0,0.0,0.0
258,0.0,0.0,1.0,0.0
268,1.0,1.0,0.0,0.0
269,1.0,0.0,0.0,0.0
282,1.0,0.0,1.0,0.0
283,1.0,0.0,0.0,0.0
284,1.0,1.0,1.0,0.0
286,1.0,0.0,0.0,0.0
308,1.0,0.0,0.0,0.0
321,0.0,1.0,0.0,0.0
322,1.0,0.0,0.0,0.0
327,1.0,0.0,0.0,0.0
329,1.0,0.0,0.0,0.0
330,1.0,0.0,0.0,0.0
360,0.0,0.0,1.0,0.0
362,1.0,0.0,0.0,0.0
364,1.0,0.0,1.0,0.0
365,0.0,0.0,1.0,0.0
391,0.0,0.0,1.0,0.0
393,1.0,0.0,1.0,0.0
394,1.0,0.0,1.0,0.0
402,1.0,1.0,0.0,0.0
403,1.0,1.0,1.0,0.0
420,1.0,0.0,0.0,0.0
424,1.0,0.0,1.0,0.0
425,1.0,1.0,0.0,0.0
426,1.0,1.0,1.0,1.0
427,1.0,0.0,0.0,0.0
438,0.0,0.0,1.0,0.0
442,1.0,0.0,1.0,0.0
452,0.0,0.0,1.0,0.0
498,1.0,1.0,0.0,0.0
499,1.0,1.0,1.0,0.0
517,1.0,1.0,1.0,0.0
518,1.0,1.0,0.0,1.0
561,0.0,0.0,1.0,0.0
567,1.0,0.0,0.0,0.0
602,1.0,0.0,0.0,0.0
604,0.0,1.0,1.0,0.0
611,1.0,0.0,0.0,0.0
627,1.0,0.0,0.0,0.0
634,0.0,0.0,1.0,0.0
637,1.0,0.0,0.0,0.0
642,1.0,0.0,0.0,0.0
652,0.0,0.0,1.0,0.0
659,1.0,0.0,0.0,0.0
665,1.0,0.0,0.0,0.0
666,1.0,0.0,0.0,0.0
667,1.0,0.0,1.0,0.0
668,1.0,0.0,1.0,0.0
669,1.0,0.0,0.0,0.0
681,1.0,0.0,0.0,0.0
690,1.0,0.0,0.0,0.0
691,1.0,1.0,1.0,0.0
692,1.0,1.0,1.0,1.0
693,1.0,1.0,0.0,1.0
694,1.0,0.0,0.0,0.0
699,0.0,0.0,1.0,0.0
708,0.0,0.0,1.0,0.0
714,1.0,0.0,1.0,0.0
715,1.0,0.0,1.0,0.0
716,1.0,1.0,1.0,0.0
717,1.0,1.0,1.0,0.0
718,1.0,1.0,0.0,0.0
719,1.0,1.0,1.0,1.0
735,1.0,1.0,1.0,0.0
736,1.0,1.0,0.0,0.0
740,1.0,1.0,1.0,1.0
741,1.0,1.0,1.0,1.0
742,1.0,1.0,1.0,1.0
743,1.0,1.0,1.0,1.0
744,1.0,1.0,0.0,0.0
748,0.0,0.0,1.0,0.0
756,1.0,1.0,1.0,1.0
757,1.0,1.0,1.0,1.0
760,1.0,1.0,0.0,0.0
761,1.0,1.0,1.0,1.0
762,1.0,1.0,0.0,1.0
763,1.0,1.0,0.0,0.0
777,1.0,0.0,0.0,0.0
779,1.0,0.0,0.0,0.0
780,1.0,1.0,0.0,0.0
781,1.0,1.0,0.0,1.0
782,1.0,0.0,1.0,0.0
783,1.0,0.0,0.0,0.0
791,1.0,0.0,0.0,1.0
792,1.0,0.0,1.0,0.0
797,0.0,0.0,1.0,0.0
799,1.0,0.0,0.0,0.0
801,1.0,0.0,1.0,0.0
802,1.0,1.0,1.0,0.0
803,1.0,0.0,0.0,0.0
804,1.0,0.0,0.0,0.0
805,1.0,1.0,1.0,0.0
806,1.0,0.0,0.0,0.0
807,1.0,0.0,0.0,0.0
808,0.0,0.0,1.0,0.0
812,0.0,0.0,1.0,0.0
814,1.0,0.0,0.0,0.0
815,1.0,1.0,1.0,1.0
816,1.0,0.0,0.0,0.0
822,1.0,0.0,0.0,0.0
823,1.0,0.0,0.0,0.0
825,1.0,1.0,1.0,0.0
826,1.0,0.0,1.0,0.0
827,1.0,0.0,0.0,0.0
829,0.0,0.0,1.0,0.0
830,0.0,0.0,1.0,0.0
831,1.0,0.0,0.0,0.0
835,1.0,0.0,0.0,0.0
836,1.0,1.0,1.0,0.0
842,1.0,0.0,0.0,0.0
844,0.0,0.0,1.0,0.0
846,1.0,0.0,0.0,0.0
850,1.0,0.0,1.0,0.0
853,1.0,0.0,0.0,0.0
862,0.0,1.0,0.0,0.0
864,1.0,0.0,1.0,0.0
865,1.0,0.0,0.0,0.0
882,1.0,1.0,1.0,0.0
883,0.0,0.0,1.0,0.0
915,1.0,0.0,0.0,0.0
928,1.0,0.0,1.0,0.0
946,0.0,0.0,1.0,0.0
979,1.0,0.0,0.0,0.0
980,1.0,0.0,0.0,0.0
1007,1.0,0.0,0.0,0.0
1030,1.0,0.0,1.0,0.0
1083,1.0,0.0,0.0,0.0
1085,1.0,0.0,0.0,0.0
1086,1.0,0.0,0.0,0.0
1108,1.0,0.0,1.0,0.0
1136,1.0,0.0,0.0,0.0
1144,1.0,0.0,0.0,0.0
1187,1.0,0.0,0.0,0.0
1205,1.0,0.0,0.0,0.0
1226,1.0,0.0,0.0,0.0
