SurveyPointId,Easting,Northing,Amphora,Coarseware,Commonware,Fineware
02001d-77-012,531989.73,4385614.15,38.5,0.0,0.0,0.0
02001d-80-008,531872.15,4385569.72,6.5,0.0,0.0,0.0
02001d-82-024,532116.88,4385546.76,12.0,0.0,0.0,0.0
021540-83-107,532127.62,4385358.91,0.0,8.4,0.0,0.0
021540-84-208,532164.35,4385338.75,9.2,0.0,0.0,0.0
021540-85-408,532151.02,4385346.02,36.1,0.0,0.0,0.0
03039b-14-311,532676.3,4385941.44,0.0,4.3,0.0,0.0
03039b-14-312,532663.24,4385944.05,0.0,16.200000000000003,3.0,0.0
03039b-44-318,532729.52,4385777.52,8.64,0.0,0.0,0.0
041440-71-403,531345.63,4386335.24,15.2,0.0,0.0,0.0
041440-80-305,531384.27,4386331.07,0.0,7.2,0.0,0.0
041440-84-309,531323.61,4386262.79,12.9,0.0,0.0,0.0
04405b-13-006,532277.88,4386434.09,0.0,19.4,0.0,0.0
04406a-37-001,532300.96,4386413.99,0.0,0.0,8.71,0.0
044080-13-201,532257.19,4386432.45,94.4,98.00000000000001,0.0,0.0
044080-13-202,532250.96,4386434.92,0.0,123.6,61.2,0.0
044080-14-302,532238.66,4386412.62,0.0,61.5,130.00000000000003,0.0
044080-50-304,532250.79,4386430.23,95.1,95.0,0.0,0.0
044080-52-301,532245.93,4386438.96,0.0,15.58,0.0,0.0
044080-54-401,532260.56,4386450.67,0.0,79.4,0.0,0.0
044080-54-402,532242.37,4386449.59,0.0,0.0,10.5,0.0
044080-54-404,532208.42,4386420.04,62.7,0.0,0.0,0.0
044080-59-401,532249.29,4386476.26,0.0,0.0,177.82999999999998,0.0
044080-59-402,532210.87,4386429.49,0.0,79.95,5.64,0.0
044080-62-301,532264.54,4386441.81,0.0,76.9,77.3,0.0
044080-62-302,532236.82,4386442.14,0.0,79.7,32.0,0.0
044080-62-303,532229.75,4386450.65,0.0,5.4,15.0,0.0
044080-62-304,532235.26,4386445.68,0.0,22.3,0.0,0.0
044080-69-401,532246.15,4386428.41,62.2,0.0,0.0,0.0
044080-69-402,532231.46,4386472.97,0.0,53.4,0.0,0.0
044380-14-402,532297.03,4386901.76,11.7,0.0,0.0,0.0
044380-51-303,532267.23,4386926.16,0.0,0.0,13.28,0.0
044380-59-401,532268.73,4386957.35,8.6,0.0,0.0,0.0
044380-62-406,532253.84,4386967.95,1.8,0.0,0.0,0.0
044380-62-408,532233.1,4386962.53,27.2,0.0,0.0,0.0
044380-68-402,532262.93,4386949.56,42.7,0.0,0.0,0.0
044380-68-403,532252.82,4386946.96,57.68,0.0,0.0,0.0
04439d-69-211,532324.75,4386921.85,0.0,0.0,2.8,0.0
044420-55-001,532124.95,4387152.31,8.7,0.0,0.0,0.0
044420-58-002,532107.32,4387161.0,47.400000000000006,0.0,0.0,0.0
044420-64-004,532105.54,4387136.02,18.2,0.0,0.0,0.0
04496A-13-305,532230.54,4386824.22,39.44,0.0,0.0,0.0
046830-13-106,532975.5,4386061.7,0.0,0.0,4.2,0.0
046830-14-016,533126.25,4386093.75,9.9,0.0,0.0,0.0
046830-14-024,533069.45,4386049.0,0.0,0.0,21.9,0.0
046830-42-021,533048.08,4386090.42,28.2,0.0,50.1,0.0
046830-44-026,532955.22,4386089.46,4.6,0.0,0.0,0.0
04686a-39-302,532663.76,4386774.67,0.0,0.0,6.8,0.0
04708b-14-102,532149.94,4387085.6,16.169999999999998,0.0,5.52,0.0
04708b-14-103,532157.52,4387078.75,68.2,0.0,0.0,0.0
04708b-62-102,532146.89,4387077.6,37.3,0.0,14.3,0.0
04708b-64-101,532138.66,4387074.79,58.5,0.0,0.0,0.0
04708b-64-102,532146.47,4387075.04,110.4,0.0,11.1,0.0
04708b-66-103,532182.27,4387091.06,39.74,0.0,4.79,0.0
04708c-50-001,532165.28,4387111.16,0.0,0.0,4.6,0.0
04708c-50-003,532153.93,4387125.01,9.5,0.0,0.0,0.0
04708c-53-004,532125.0,4387120.23,14.6,0.0,0.0,0.0
04708c-56-002,532140.63,4387116.08,38.0,0.0,0.0,0.0
04708c-57-002,532153.61,4387111.14,19.1,0.0,0.0,0.0
04708c-57-003,532147.56,4387120.77,23.7,0.0,0.0,0.0
04708c-57-004,532138.59,4387132.5,35.400000000000006,0.0,0.0,0.0
04708c-63-002,532151.21,4387296.7,12.8,0.0,0.0,0.0
04708c-63-004,532153.45,4387295.04,0.0,0.0,4.4,0.0
04708c-65-001,532130.47,4387082.52,0.0,22.67,0.0,0.0
04759b-13-112,532816.1,4386276.29,0.0,0.0,3.93,0.0
04759b-41-022,532912.01,4386077.52,22.8,0.0,0.0,0.0
05071a-50-101,531989.82,4387111.15,27.4,0.0,0.0,0.0
05071a-50-102,531983.1,4387108.13,6.45,0.0,0.0,0.0
05071a-50-103,531975.08,4387103.02,33.9,0.0,0.0,0.0
05071a-50-104,531966.83,4387097.81,6.6,0.0,0.0,0.0
05071a-58-303,532014.29,4387038.75,8.76,0.0,0.0,0.0
05071a-63-202,532003.59,4387072.56,12.91,0.0,0.0,0.0
05071a-63-204,531982.1,4387060.6,0.0,0.0,32.7,0.0
050740-13-005,532017.53,4387096.12,20.509999999999998,0.0,0.0,0.0
050740-14-402,532051.18,4387082.52,15.3,0.0,0.0,0.0
050740-62-402,532031.24,4387089.21,0.0,0.0,15.8,0.0
050740-66-402,532040.88,4387083.7,51.220000000000006,0.0,0.0,0.0
050870-64-302,531638.08,4387182.26,0.0,1.8,0.0,0.0
050880-62-207,531679.83,4387295.3,0.0,0.0,2.6,0.0
050880-65-216,531624.32,4387272.43,0.0,0.0,2.66,0.0
050930-50-405,531738.55,4387215.58,53.5,0.0,0.0,0.0
050930-53-604,531704.46,4387192.08,45.800000000000004,0.0,0.0,0.0
050930-56-409,531764.06,4387221.62,76.19,0.0,0.0,0.0
05130a-35-108,531236.09,4387018.69,0.0,0.0,8.23,0.0
05130a-36-103,531183.83,4386890.74,0.0,0.0,6.6,0.0
05130a-42-108,531192.91,4387002.53,0.0,0.0,3.1,0.0
05130a-44-101,531203.69,4386861.52,0.0,0.0,8.73,0.0
110200-73-106,530425.01,4387047.08,37.6,0.0,0.0,0.0
110200-75-105,530456.78,4387085.27,28.1,0.0,0.0,0.0
110200-78-106,530469.24,4387081.21,14.8,0.0,0.0,0.0
11025a-83-105,530826.79,4387457.1,0.0,0.0,6.2,0.0
110360-05-001,530444.72,4387139.72,18.5,0.0,0.0,0.0
110360-05-002,530439.97,4387147.02,26.3,0.0,0.0,0.0
110360-73-007,530407.42,4387133.13,25.3,0.0,0.0,0.0
110360-75-008,530369.94,4387104.68,0.0,10.6,0.0,0.0
110360-78-013,530422.56,4387146.18,24.6,0.0,0.0,0.0
11050a-78-105,530633.95,4387591.51,0.0,0.0,8.5,0.0
11097a-73-004,530122.77,4388208.24,0.0,0.0,27.39,0.0
11117a-14-006,530006.38,4388459.83,0.0,0.0,120.4,0.0
111260-74-304,529808.49,4388357.4,26.4,0.0,0.0,0.0
111260-84-301,529846.86,4388331.8,13.5,0.0,0.0,0.0
111270-73-203,529862.43,4388388.91,28.1,0.0,0.0,0.0
11140d-34-006,530909.49,4386972.09,0.0,0.0,4.91,0.0
15001a-05-038,529171.3,4389791.34,15.4,0.0,0.0,0.0
15001a-14-216,528986.08,4389907.17,23.8,0.0,4.6,0.0
15001a-14-224,528955.81,4389859.67,0.0,0.0,5.2,0.0
15001a-14-227,528985.39,4389862.11,23.0,0.0,0.0,0.0
